Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-0.16,-0.28,-0.04,-0.37,-0.13,-0.01,-0.82,-0.44,-0.29,-0.15,-0.1,-0.03,0.05,0.64
1881,-0.08,-0.17,0.01,-0.33,0.11,-0.06,-0.91,-0.4,-0.2,0.1,0.11,-0.04,-0.07,0.57
1882,-0.1,-0.2,-0.01,-0.29,-0.05,0.02,-1.4,-0.23,-0.14,-0.05,-0.05,0.02,0.04,0.6
1883,-0.17,-0.27,-0.06,-0.33,-0.16,-0.01,-0.2,-0.53,-0.25,-0.17,-0.15,-0.03,0.07,0.47
1884,-0.28,-0.43,-0.15,-0.61,-0.15,-0.13,-1.32,-0.62,-0.48,-0.13,-0.16,-0.18,-0.02,0.62
1885,-0.33,-0.43,-0.24,-0.65,-0.13,-0.27,-1.53,-0.66,-0.46,-0.05,-0.2,-0.33,-0.15,0.79
1886,-0.31,-0.42,-0.2,-0.56,-0.19,-0.21,-1.61,-0.47,-0.41,-0.2,-0.18,-0.19,-0.2,0.56
1887,-0.35,-0.43,-0.28,-0.52,-0.29,-0.28,-1.78,-0.48,-0.29,-0.28,-0.3,-0.27,-0.26,0.29
1888,-0.17,-0.23,-0.12,-0.42,0.1,-0.29,-1.32,-0.4,-0.25,0.08,0.12,-0.31,-0.22,0.13
1889,-0.1,-0.17,-0.04,-0.29,0.08,-0.16,-0.7,-0.2,-0.28,0.03,0.13,-0.15,-0.15,0.42
1890,-0.35,-0.38,-0.32,-0.45,-0.37,-0.22,-1.15,-0.53,-0.28,-0.25,-0.48,-0.17,-0.27,0.12
1891,-0.23,-0.26,-0.19,-0.43,-0.08,-0.21,-1.16,-0.33,-0.37,0.01,-0.17,-0.17,-0.24,-0.18
1892,-0.27,-0.39,-0.16,-0.44,-0.29,-0.08,-1.19,-0.64,-0.18,-0.31,-0.27,0.03,-0.21,0.06
1893,-0.31,-0.47,-0.15,-0.52,-0.36,-0.04,-0.73,-0.53,-0.48,-0.41,-0.31,0.07,-0.2,-0.07
1894,-0.3,-0.39,-0.22,-0.33,-0.33,-0.24,-1.0,-0.32,-0.19,-0.47,-0.19,-0.14,-0.35,-0.4
1895,-0.23,-0.3,-0.15,-0.41,-0.07,-0.26,-0.72,-0.52,-0.27,-0.13,-0.01,-0.19,-0.32,-0.61
1896,-0.11,-0.19,-0.03,-0.36,0.1,-0.15,-0.93,-0.36,-0.22,0.07,0.14,-0.15,-0.13,0.23
1897,-0.11,-0.16,-0.05,-0.36,0.17,-0.23,-0.61,-0.46,-0.24,0.15,0.2,-0.19,-0.27,0.38
1898,-0.27,-0.27,-0.26,-0.34,-0.22,-0.26,-1.16,-0.19,-0.23,-0.17,-0.27,-0.27,-0.21,0.35
1899,-0.18,-0.21,-0.14,-0.24,-0.12,-0.19,-1.09,-0.08,-0.15,-0.15,-0.09,-0.15,-0.22,0.55
1900,-0.08,-0.08,-0.06,-0.2,0.18,-0.29,-0.57,-0.12,-0.16,0.1,0.25,-0.28,-0.29,0.24
1901,-0.15,-0.12,-0.18,-0.16,-0.03,-0.3,-0.45,-0.09,-0.14,-0.05,-0.02,-0.27,-0.33,0.23
1902,-0.28,-0.33,-0.22,-0.53,-0.04,-0.35,-1.43,-0.49,-0.32,-0.01,-0.06,-0.28,-0.43,-0.08
1903,-0.37,-0.37,-0.37,-0.47,-0.28,-0.38,-0.31,-0.4,-0.56,-0.22,-0.34,-0.35,-0.4,-0.49
1904,-0.47,-0.47,-0.46,-0.51,-0.46,-0.43,-0.2,-0.58,-0.55,-0.43,-0.5,-0.37,-0.49,-1.31
1905,-0.26,-0.29,-0.23,-0.4,-0.09,-0.36,-0.1,-0.21,-0.62,-0.12,-0.06,-0.33,-0.37,-0.33
1906,-0.22,-0.23,-0.21,-0.25,-0.19,-0.23,-0.31,-0.05,-0.39,-0.19,-0.19,-0.2,-0.22,-0.7
1907,-0.38,-0.46,-0.3,-0.58,-0.3,-0.29,-0.61,-0.71,-0.51,-0.29,-0.32,-0.2,-0.36,-1.19
1908,-0.42,-0.45,-0.4,-0.48,-0.43,-0.36,-0.28,-0.53,-0.51,-0.4,-0.47,-0.29,-0.48,0.68
1909,-0.48,-0.49,-0.48,-0.53,-0.48,-0.44,-0.79,-0.6,-0.43,-0.43,-0.53,-0.37,-0.52,-0.56
1910,-0.43,-0.43,-0.43,-0.41,-0.48,-0.38,-0.61,-0.22,-0.49,-0.46,-0.5,-0.32,-0.45,0.17
1911,-0.44,-0.42,-0.46,-0.42,-0.42,-0.48,-0.32,-0.4,-0.46,-0.42,-0.43,-0.43,-0.52,0.06
1912,-0.36,-0.45,-0.25,-0.59,-0.18,-0.36,-0.52,-0.77,-0.49,-0.26,-0.1,-0.36,-0.29,-1.62
1913,-0.35,-0.42,-0.26,-0.44,-0.28,-0.35,-0.53,-0.32,-0.5,-0.4,-0.15,-0.28,-0.4,-1.03
1914,-0.15,-0.19,-0.11,-0.25,-0.06,-0.18,-0.4,-0.15,-0.28,-0.1,-0.02,-0.15,-0.18,-0.36
1915,-0.14,-0.14,-0.14,-0.23,-0.01,-0.22,-0.62,-0.16,-0.18,0.0,-0.03,-0.15,-0.23,-1.97
1916,-0.36,-0.42,-0.31,-0.37,-0.45,-0.23,-0.51,-0.53,-0.24,-0.49,-0.41,-0.22,-0.17,-1.04
1917,-0.46,-0.57,-0.36,-0.5,-0.64,-0.18,-0.85,-0.48,-0.42,-0.68,-0.59,-0.22,-0.09,0.07
1918,-0.29,-0.39,-0.2,-0.4,-0.33,-0.13,-1.04,-0.25,-0.34,-0.37,-0.29,-0.05,-0.22,-0.27
1919,-0.27,-0.34,-0.2,-0.43,-0.19,-0.22,-0.73,-0.54,-0.3,-0.21,-0.17,-0.14,-0.32,0.21
1920,-0.27,-0.3,-0.24,-0.25,-0.25,-0.32,-0.03,-0.19,-0.34,-0.36,-0.14,-0.19,-0.48,-1.13
1921,-0.19,-0.11,-0.27,0.02,-0.25,-0.3,-0.03,0.18,-0.09,-0.28,-0.22,-0.22,-0.38,-0.83
1922,-0.28,-0.27,-0.3,-0.24,-0.32,-0.27,-0.34,-0.39,-0.13,-0.31,-0.32,-0.24,-0.28,-0.27
1923,-0.26,-0.21,-0.31,-0.15,-0.29,-0.33,0.14,-0.14,-0.25,-0.31,-0.28,-0.26,-0.41,-0.54
1924,-0.27,-0.18,-0.36,-0.13,-0.26,-0.43,0.44,-0.24,-0.22,-0.25,-0.26,-0.39,-0.45,-0.52
1925,-0.22,-0.13,-0.3,-0.04,-0.24,-0.37,-0.1,0.19,-0.17,-0.27,-0.21,-0.24,-0.55,-0.85
1926,-0.1,0.03,-0.22,0.03,0.02,-0.4,0.55,0.17,-0.21,0.03,0.02,-0.34,-0.45,-0.63
1927,-0.22,-0.13,-0.3,-0.13,-0.16,-0.38,0.01,-0.2,-0.12,-0.13,-0.19,-0.3,-0.45,-1.37
1928,-0.2,-0.09,-0.3,-0.06,-0.15,-0.39,0.7,-0.16,-0.22,-0.13,-0.17,-0.29,-0.48,-2.11
1929,-0.36,-0.33,-0.38,-0.37,-0.28,-0.45,0.14,-0.6,-0.38,-0.26,-0.29,-0.42,-0.44,-1.07
1930,-0.16,-0.01,-0.29,0.04,-0.11,-0.42,0.53,0.05,-0.1,-0.09,-0.13,-0.33,-0.47,-2.59
1931,-0.09,0.05,-0.22,0.01,0.07,-0.42,0.56,-0.03,-0.14,0.1,0.05,-0.42,-0.4,-0.4
1932,-0.16,-0.05,-0.26,0.04,-0.17,-0.35,0.48,0.2,-0.2,-0.19,-0.15,-0.21,-0.53,-0.98
1933,-0.28,-0.25,-0.32,-0.23,-0.28,-0.34,-0.16,-0.46,-0.11,-0.28,-0.29,-0.21,-0.48,-1.14
1934,-0.12,0.0,-0.26,0.18,-0.25,-0.26,0.87,0.32,-0.12,-0.25,-0.25,-0.15,-0.38,-0.56
1935,-0.2,-0.09,-0.3,-0.04,-0.19,-0.37,0.34,-0.04,-0.16,-0.16,-0.21,-0.3,-0.41,-1.71
1936,-0.15,-0.03,-0.26,-0.02,-0.13,-0.3,0.39,0.11,-0.25,-0.04,-0.22,-0.26,-0.33,-0.03
1937,-0.03,0.12,-0.18,0.2,-0.05,-0.22,1.24,0.03,-0.02,0.01,-0.12,-0.19,-0.26,0.37
1938,0.0,0.16,-0.18,0.39,-0.23,-0.1,1.5,0.39,0.03,-0.18,-0.28,-0.06,-0.11,-0.86
1939,-0.02,0.09,-0.13,0.23,-0.12,-0.12,0.56,0.29,0.09,-0.11,-0.14,-0.04,-0.18,-1.59
1940,0.13,0.18,0.09,0.11,0.28,-0.07,1.0,-0.02,-0.09,0.28,0.29,0.03,-0.2,-0.05
1941,0.19,0.23,0.17,0.02,0.49,-0.05,0.0,-0.09,0.09,0.55,0.44,0.04,-0.15,-0.46
1942,0.07,0.13,0.01,0.13,0.08,-0.01,0.73,-0.06,0.06,0.12,0.03,0.05,-0.05,-0.89
1943,0.09,0.18,-0.01,0.38,-0.08,0.04,1.42,0.28,0.11,-0.1,-0.07,0.07,0.0,1.15
1944,0.2,0.27,0.14,0.38,0.19,0.05,1.18,0.47,0.1,0.11,0.26,0.19,-0.1,-0.92
1945,0.09,0.11,0.09,0.11,0.17,-0.03,0.63,-0.02,0.05,0.1,0.24,0.03,0.0,-1.76
1946,-0.07,0.03,-0.17,0.07,-0.05,-0.24,-0.02,-0.05,0.17,-0.02,-0.07,-0.22,-0.24,-0.15
1947,-0.03,0.08,-0.13,0.16,-0.06,-0.16,1.07,-0.13,0.05,-0.03,-0.09,-0.19,-0.08,-0.19
1948,-0.11,-0.01,-0.2,0.13,-0.18,-0.24,0.12,0.32,0.01,-0.23,-0.14,-0.19,-0.19,-1.36
1949,-0.11,-0.02,-0.19,0.12,-0.19,-0.23,0.21,0.17,0.05,-0.23,-0.15,-0.17,-0.15,-1.95
1950,-0.17,-0.15,-0.21,-0.05,-0.29,-0.14,0.2,-0.3,0.04,-0.3,-0.28,-0.06,-0.16,-0.85
1951,-0.07,0.05,-0.18,0.08,-0.06,-0.23,0.09,0.01,0.12,-0.01,-0.12,-0.22,-0.16,-0.68
1952,0.01,0.06,-0.04,0.11,0.01,-0.09,0.27,-0.09,0.19,-0.01,0.04,-0.1,-0.02,-0.49
1953,0.08,0.24,-0.08,0.35,0.07,-0.18,1.02,0.35,0.14,0.08,0.06,-0.08,-0.24,-1.09
1954,-0.13,-0.02,-0.25,0.07,-0.21,-0.22,0.8,-0.21,0.0,-0.14,-0.29,-0.18,-0.2,-0.8
1955,-0.14,-0.09,-0.21,0.05,-0.34,-0.06,-0.24,-0.11,0.23,-0.3,-0.39,-0.16,-0.08,1.22
1956,-0.19,-0.23,-0.16,-0.2,-0.33,0.01,0.01,-0.47,-0.09,-0.29,-0.38,-0.14,0.02,0.77
1957,0.05,0.04,0.05,0.03,0.08,0.02,0.09,0.22,-0.11,0.05,0.1,-0.09,-0.02,0.49
1958,0.06,0.15,-0.03,0.08,0.2,-0.15,-0.17,0.14,0.12,0.26,0.15,-0.08,-0.08,-0.53
1959,0.03,0.12,-0.06,0.16,0.07,-0.16,0.48,0.18,0.05,0.07,0.08,-0.03,-0.26,-0.36
1960,-0.03,0.08,-0.13,0.09,0.02,-0.2,0.33,-0.07,0.11,0.06,-0.03,-0.1,-0.07,-0.76
1961,0.06,0.08,0.03,0.19,-0.04,0.05,-0.15,0.38,0.18,-0.07,0.0,0.14,-0.17,0.21
1962,0.03,0.13,-0.07,0.24,-0.05,-0.08,0.45,0.31,0.14,-0.05,-0.05,0.09,-0.07,-0.66
1963,0.05,0.14,-0.03,0.14,0.11,-0.12,-0.16,0.31,0.13,0.13,0.09,-0.1,-0.17,-0.04
1964,-0.2,-0.19,-0.21,-0.23,-0.14,-0.24,-0.67,-0.2,-0.12,-0.14,-0.15,-0.3,-0.07,-0.38
1965,-0.11,-0.14,-0.07,-0.19,-0.03,-0.13,-0.28,-0.24,-0.12,-0.08,0.02,-0.23,-0.03,-0.01
1966,-0.06,-0.02,-0.09,-0.14,0.08,-0.15,-0.76,-0.19,0.09,0.16,-0.01,-0.24,-0.14,0.11
1967,-0.02,0.03,-0.08,0.12,-0.14,-0.01,0.36,0.26,-0.05,-0.11,-0.17,-0.09,-0.02,0.3
1968,-0.08,-0.07,-0.09,-0.11,-0.07,-0.09,-0.33,-0.02,-0.08,-0.02,-0.11,-0.14,0.0,-0.08
1969,0.05,-0.03,0.14,-0.29,0.33,0.02,-0.04,-0.61,-0.17,0.35,0.32,0.0,0.13,-0.14
1970,0.03,-0.04,0.09,-0.11,0.07,0.11,-0.21,-0.13,-0.06,0.07,0.07,0.11,0.03,0.31
1971,-0.08,-0.15,-0.02,-0.06,-0.26,0.13,-0.08,0.01,-0.1,-0.29,-0.22,0.03,0.16,0.43
1972,0.01,-0.17,0.2,-0.34,0.17,0.14,-0.37,-0.47,-0.25,0.07,0.27,0.16,-0.02,0.45
1973,0.16,0.1,0.23,0.11,0.19,0.18,0.07,0.27,0.02,0.08,0.3,0.22,0.07,0.34
